Date,Time,Category,Amount,Description,Expense Type
2025-04-05,10:22 AM,Food,12.0,tae,Expense
2025-04-04,02:41 AM,Food,300.0,A5,Expense
2025-04-03,07:18 PM,Shopping,500.0,a3,Expense
2025-04-03,07:06 PM,Shopping,300.0,a2,Expense
2025-04-03,07:06 PM,Food,250.0,a3,Expense
2025-04-03,07:00 PM,Food,800.0,a,Expense
2025-04-02,02:29 AM,Shopping,1212.0,aaaa,Expense
2025-03-08,12:34 AM,Food,1111.0,huhu,Expense
2025-03-08,12:34 AM,Transport,12.0,aaa,Expense
2025-03-08,12:33 AM,Food,12.0,aa,Expense
2025-03-08,12:28 AM,Transport,120.0,aqw,Expense
2025-03-08,12:28 AM,Food,129.0,sss,Expense
2025-03-08,12:27 AM,Food,1200.0,qwert,Expense
2025-03-08,12:23 AM,Food,100.0,aa,Expense
2025-03-08,12:08 AM,Transport,20.0,aas,Expense
2025-03-08,12:01 AM,Food,50.0,avc,Expense
2025-03-08,05:02 PM,Food,21.0,qa,Expense
2025-03-08,04:12 PM,Shopping,799.0,KID DRESS,Expense
2025-03-08,04:12 PM,Shopping,100.0,AA,Expense
2025-03-08,04:12 PM,Shopping,200.0,QQ,Expense
2025-03-08,04:07 PM,Food,10.0,tea,Expense
2025-03-08,04:07 PM,Food,30.0,coffee,Expense
2025-03-07,11:59 PM,Food,100.0,roll,Expense
2025-03-07,11:58 PM,Food,100.0,ass,Expense
2025-03-07,11:52 PM,Food,122.0,aaaww,Expense
2025-03-07,11:52 PM,Transport,111.0,aaa,Expense
2025-03-07,11:52 PM,Transport,890.0,bus,Expense
2025-03-07,11:46 PM,Food,122.0,aaa,Expense
2025-03-06,11:14 PM,Food,12111.0,ass,Expense
2025-03-06,05:47 PM,Food,100.0,onefoodworld,Expense
2025-03-05,12:31 PM,Food,1212.0,salary,Income
2025-03-05,12:31 PM,Transport,3643.0,train,Expense
2025-03-05,12:14 PM,Transport,1.0,autp,Income
